Name,Description,Footprint,Manufacturer,MPN,Storage,Total Stock,URL,Meta-Parts,Lead-Times
NPCB-CW335_VCCINTPSU,,,,,shelf5,50,https://PARTSBOX.COM/ICBJMCKHF78KJ69SB7NSGZK08SZ,,
BM04B-GHS-TBT(LF)(SN)(N),Conn Shrouded Header HDR 4 POS 1.25mm Solder ST SMD Reel,,JST,BM04B-GHS-TBT(LF)(SN)(N),Office 9,198,https://PARTSBOX.COM/I169CA6B4MRJTFBZ1PEWDHR1XKD,,
Chipwhisperer Lite-Quick Guide (XMEGA -CLASSIC)),"double sided 3.5 x 17"" Chipwhispere Lite 8-bit edition quick guide",,,,shelf4,13,https://PARTSBOX.COM/IAW6V8MYCS4K9E8YWCESKPTPSD9,,
CON20HDR-01 (SBH11-PBPC-D10-ST-BK),20 Position Total Dual Row 2.54 mm Pitch Straight Male Shrouded Box Header,,Sullins,SBH11-PBPC-D10-ST-BK,shelf3,61,https://PARTSBOX.COM/IC5C4FGA2EWJ1NAFE00NCH5RGEX,,
MMBT5401LT1G,"ON Semi MMBT5401LT1G PNP Bipolar Transistor, 0.5 A, 150 V, 3-Pin SOT-23",SOT-23,onsemi,MMBT5401LT1G,,0,https://PARTSBOX.COM/I44PNBSRQCRJXQ9V7Y5DAS6SPEE,MMBT5401LT1G,
MH4028H24B1+6-RSR-PC,Fan Axial 40X28MM 24VDC Wire,,Mechatronics,MH4028H24B1+6-RSR-PC,,0,https://PARTSBOX.COM/I7MY4B1MGAAHTAASY2QD8A3W4K4,,
NPCA-LNA-02 (UNTESTED),NPCA LOW NOISE AMPLIFIER,,,,,0,https://PARTSBOX.COM/IEBR9VFVTRJHSQ8YMWA88QPC4A8,,
NPCB-CHIPJABBER,CHIPJABBER FOR PROTO,,,,,0,https://PARTSBOX.COM/I2N8KFD2GRJG6FATR1MTBM7ETXW,,
SN74AXC1T45QDCKRQ1,Automotive single-bit dual-supply bus transceiver 6-SC70 -40 to 125,,Texas Instruments,SN74AXC1T45QDCKRQ1,Office 9,1000,https://PARTSBOX.COM/ICKGKPYBA9RKAEBMD7HFKEX1A4Z,,
EEU-TP1V271LB,Cap Aluminum 270uF 35V 20% (8 X 20mm) Radial 5mm 0.067 Ohm 760mA 1000 hr 135°C Ammo Pack,,Panasonic,EEU-TP1V271LB,shelf3,15,https://PARTSBOX.COM/IAETH6HQ6V6GMVADWHFDB7AFSCT,,
1658645-1,Conn D-Subminiature PIN 9 POS 2.76mm Crimp ST Cable Mount 9 Terminal 1 Port Bag,,TE Connectivity,1658645-1,shelf2,34,https://PARTSBOX.COM/I27Q09VT6WYGS28GZG1V85Z5Q7N,,
AT-S-26-6/6/B-7/R,Cable Assembly UTP Patch Cord 2.133m 26AWG Modular Plug to Modular Plug 6 to 6 POS PL-PL Bag,,ASSMANN WSW Components,AT-S-26-6/6/B-7/R,shelf3,4,https://PARTSBOX.COM/I5ZFSS5CJYGJKHB5CXXTXYR0SM4,,
NRF52840-QIAA-R7,Bluetooth v5.0 Smart Module,,Nordic Semiconductor,NRF52840-QIAA-R7,Office 9,143,https://PARTSBOX.COM/I33F7KCA81PHA0A3F141XA2QAZ1,,
"SCREW 2-56 x 7/16 "" (92196A082)","18-8 Stainless Steel Socket Head Screw, 2-56 Thread Size, 7/16"" Long",,,92196A082,shelf3,244,https://PARTSBOX.COM/I90X7PP5EB0KYRAA3PVV8FJYHZD,,
TNUT-1/4.20 (47065T905),1/2-20 T-Nut for Framing,,McMaster Carr,47065T905,,0,https://PARTSBOX.COM/IE8AQX1HVR6HAV88KP70HZKXCY5,,
TOOL-SCREWDRIVER-ALLENKEY-3/16-SILVER (53425A35),"Allen Key, Hex Driver, 3/16 drive, silver",,McMaster Carr,53425A35,,0,https://PARTSBOX.COM/I9FG4CHAB7TGDB9FVBNSDWAHJXK,,
NPCB-CW308T-STM32F-03,PCB UFO Target STM32F REV. 3,,,,shelf5,756,https://PARTSBOX.COM/I818W3G0992G4VBF71A90V9MC0X,,
CS-HIFIVEB-02,,,Crowd Supply,CS-HIFIVEB-02,,0,https://PARTSBOX.COM/I2JAJ9Q84T6JS7B10BWW18N8GXG,,
NBOX-WHITE-13 x 10 x 4 (S-13280),"13 x 10 x 4"" WHITE",,ULINE,S-13280,large storage room,55,https://PARTSBOX.COM/ID3TXTQ27ZMGXT8XBTZWFR0XAYR,,
LM73606QRNPTQ1,"3.5V to 36V, 6A Synchronous Step-Down Voltage Converter 30-WQFN -40 to 125",,Texas Instruments,LM73606QRNPTQ1,,0,https://PARTSBOX.COM/I49BTDW2N2CHEC837NGRVNFTDCR,,
NAE-CWHUSKY-MANUAL,CWHUSKY manual,,,,shelf3,90,https://PARTSBOX.COM/I6E10S9R1TEH1SB8N0N0ZRJAB4P,,
CB-POWER-C5-AU/NZ-6FT (VC-1434-21-180),Cable Assembly AC Power 1.8m Power to Power 3 to 3 POS M-F,,Volex,VC-1434-21-180,shelf3,3,https://PARTSBOX.COM/I1XGTWXVWKRJ2SBWDE6AWVRXJ3Z,,
3214J-1-502E,Res Cermet Trimmer 5K Ohm 10% 1/4W 5(Elec)Turn 1.5mm (4.8 X 5 X 3.71mm) J-Hook SMD Embossed T/R,,Bourns,3214J-1-502E,shelf3,247,https://PARTSBOX.COM/I2VBJ00QYNWK0MAM5KRQ6SVXJVR,,
RCHIP-240R-0805 (CR0805-FX-2400ELF),Res Thick Film 0805 240 Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper Tape on Plastic Reel,,Bourns,CR0805-FX-2400ELF,shelf3,200,https://PARTSBOX.COM/ICE1AQXMGZAJ6MBM8D2PJS90TCR,,
CSR1206FT50L0,Res Thick Film 1206 0.05 Ohm 1% 1/2W ±100ppm/°C Molded SMD SMD Paper T/R,,Stackpole Electronics,CSR1206FT50L0,shelf3,49,https://PARTSBOX.COM/I6X74ZWNE4RJ9WBSPBE1RZ6YG54,,
CW571-SLIDERS,ChipShover Mount - Side Sliders,,,,packaging area,100,https://PARTSBOX.COM/IE61DXGCPXTJ6PB02KAS3ZP0QYC,,
FBCHIP-1k-0603 (FBMH1608HM102-T),Ind High Current Chip Bead 1KOhm 25% 100MHz Ferrite 500mA 0603 T/R,603,Taiyo Yuden,FBMH1608HM102-T,Office 9,4090,https://PARTSBOX.COM/I5CGZEFYNRTG329ZJFMCTEVRV6E,,
"6-32 x 5/16"" (92196A145)","18-8 Stainless Steel Socket Head Screw, 6-32 Thread Size, 5/16"" Long",,McMaster Carr,92196A145,shelf2,320,https://PARTSBOX.COM/I74W6B0EHZJJXE9F8QYXQH1BJNZ,,
929852-01-20-RA,80000909095 929852-01-20-Ra=40/.100/Str/Skt/2R/.125/Bm/10U/R Rohs Compliant: Yes,,3M,929852-01-20-RA,,0,https://PARTSBOX.COM/ICN5EKZ8XA4GQEBPNDZA0P5SQ02,,
BU2032SM-FH-GTR,BATT HOLDER COIN 20MM 1 CELL SMD,,Memory Protection Devices,BU2032SM-FH-GTR,,0,https://PARTSBOX.COM/I9C0VDQSQ3AK718A2JS3CBAB5F5,,
ECA-1VM101,Cap Aluminum Lytic 100uF 35V 20% (6.3 X 11.2mm) Radial 2.5mm 210mA 2000h 85Â°C Bulk,PTH,Panasonic,ECA-1VM101,,0,https://PARTSBOX.COM/I8YYD56DBW4J8F9PWJVWSAG9C98,,
NPCA-CW520-KIT (PARTIAL: NO UNIT & MANUAL),,,,,,0,https://PARTSBOX.COM/I57BK6PH0R6JZXBCM402A7CRC9C,,
NPCA-CWHUSKYPLUS-03,Chipwhisperer Husky main boards Rev. 03 (7A100T) (UNTESTED),,,,shelf1,73,https://PARTSBOX.COM/I5A60X2CBMAHPKAESBGMH4NEZDN,,
NAE-CW308T-STM32F-SOCKET64 (SCRATCH DENT) (TESTED),UFO TARGET STM32F-SOCKET 64 (TQFP),,,,,0,https://PARTSBOX.COM/I4S1H1JTB56GB5AGRT352Z8HZ56,,
STM32G484VET6,Microcontroller 32-Bit ARM Cortex-M4 RISC 512K-Byte Flash 3.3V 100-Pin LQFP,,STMicroelectronics,STM32G484VET6,Office 9,25,https://PARTSBOX.COM/I7PNGHH8ZH4JWC950A9W3QXV39E,,
Chipwhisperer Nano Quick Starter Guide,Nano quick starter guide,,,,shelf4,353,https://PARTSBOX.COM/I0XHFW7CBM2H3H9JHCHKJQDPWZ9,,
NPCB-CLOCKRECOV-01,Clock Recovery Board - Blank PCB,,,,PROTO,20,https://PARTSBOX.COM/ICKDE1VHJCYK1E8VAPJZQCX9T10,,
ABM10AIG-16.000MHZ-4Z-T3,Crystal 16MHz 10pF 4-Pin CSMD T/R,,Abracon,ABM10AIG-16.000MHZ-4Z-T3,Parts Kit: ChipSHOUTER SMT,706,https://PARTSBOX.COM/I70GZ47PD9JHE4AC7B38S4624WH,,
D89114-0131HK-3365/14-D-3,"Cable 14POS Socket to Socket 3""",,3M,D89114-0131HK-3365/14-D-3,shelf3,36,https://PARTSBOX.COM/IFNSSBKG9SRJV59JWKXYT8QD1FV,,
CY8C6247BZI-D44,CY8C6247 Series 1024 kB Flash 288 kB RAM 150 MHz 32-Bit PSoC®6 - BGA-124,,Cypress Semiconductor,CY8C6247BZI-D44,,0,https://PARTSBOX.COM/I4S3E9VX3H4JSC857BG5EP8XW37,,
GRPB042MWCN-RC,GRPB Series 8 Position Dual Row Right Angle 1.27 mm Board to Board Header,,Sullins,GRPB042MWCN-RC,shelf3,9,https://PARTSBOX.COM/I3PMPGHAQ7YGMW809T0FD5SA2RV,,
ACM PLUG UK,"INTERCHANGEABLE AC INPUT PLUG, BLACK, UK",,XP Power,ACM PLUG UK,shelf3,15,https://PARTSBOX.COM/ICV698XB5ZEK8TB542E6XB1DYJM,,
AP2171AW-7,USB Power Switch SOT25 T&R 3K,,Diodes Inc.,AP2171AW-7,"Office 9,shelf3",512,https://PARTSBOX.COM/I84ZBG6WDF0KF4AYMH9KEA0FKN9,,
RCHIP-1R0-0603 (RC0603FR-071RL),Res Thick Film 1.6 x 0.8 mm 1 Ohm 1% 0.1W(1/10W) 200ppm/ C Molded SMD Paper T/R,603,Yageo,RC0603FR-071RL,Office 9,3750,https://PARTSBOX.COM/IA52TBY3PQPKCB8888RJ58W6QGM,,
NAE-CW308T-87C51,"UFO Target, 87C51 TESTED",,,,,0,https://PARTSBOX.COM/IDW70T54T26G6H902F5D57A4VVX,,
NPCA-CW308T-STM32F-SOCKET64 (TEST ISSUE),UFO TARGET STM32F-SOCKET 64 (TQFP),,,,,0,https://PARTSBOX.COM/IF0S4E6DQ7GHJFBJ3902HHFG3YN,,
CCHIP-10u-0805-35V (C2012X5R1V106M125AC),C Series 0805 10 uF 35 V ±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor,,TDK,C2012X5R1V106M125AC,Office 9,800,https://PARTSBOX.COM/IAE85V6X5BGJFZA3VSSRQVYSPB6,,
NPCB-CW308T-RF85420-03,UFO TARGET RF85420 PCB,,,,PROTO,38,https://PARTSBOX.COM/I18M2E5496GK4T8G8T8NX593421,,
ZX62D-B-5P8(30),ZX Series 5 Position Through Hole Wire to Board Right Angle Male Receptacle,,HIROSE ELECTRIC,ZX62D-B-5P8(30),shelf3,8,https://PARTSBOX.COM/I4ZTVD93H2EJ5E82C48DR6TAAV2,,
COOLING AIR ADAPTER (QSMP-M8X1.25-6),COOLING AIR ADAPTER(INLET),,Festo,QSMP-M8X1.25-6,shelf3,57,https://PARTSBOX.COM/IBSXTM373JAJX7AVTQ5H2W5HVDJ,,
"KAPTON -TAPE- 1/2"" (S-15319)",".(CHP SC-0414 Low Static Polyimide Tape 2.7 Miles x 0.5"" )",,,S-15319,MECHANICAL AREA,6,https://PARTSBOX.COM/I6BQ90MWTB8GJSB0S6KXD5AX2TT,,
NSLEEVE-CWLITE-ARM,CWLITE 32 BIT SLEEVE COVER,,,,packaging area,127,https://PARTSBOX.COM/IFQTRVYW0PYGSYAS8DZ25G623GT,,
TL1100F160Q,Switch Tactile N.O. SPST Projected Plunger PC Pins 0.05A 12VDC 1.57N Thru-Hole,,E-Switch,TL1100F160Q,shelf3,23,https://PARTSBOX.COM/I5HTQGR07TCGSQ80PMYG8S2FQN0,,
NAE-DIFFPROBE-02,Differential Probe,,,,shelf4,59,https://PARTSBOX.COM/I3EZN02DP3YGSWA41XGMH8BXMPD,,
TSM-102-01-L-SV,"CONNECTOR, HEADER, 2POS, 1ROW, 2.54MM",,Samtec,TSM-102-01-L-SV,shelf3,6,https://PARTSBOX.COM/ID5C2NDKXM0HX5A4EV9HNHCBCMK,,
HSHRINK-CLEAR-2 (H2P0.75CL25),"HEATSHRINK 3/4"" X 25' CLEAR",,Techflex,H2P0.75CL25,shelf4,1,https://PARTSBOX.COM/IB8WBYYEJD2K9S9Z574HD463HHY,,
4MM/CW COIL ASSEMBLED,4MM/CW,,,,shelf3,1,https://PARTSBOX.COM/I6PVKPTYYXJGWVAKVTN0S0SW7Q8,,
RCHIP-36K-0603 (RC0603FR-0736KL),Res Thick Film 1.6 x 0.8 mm 36K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,,Yageo,RC0603FR-0736KL,Office 9,3590,https://PARTSBOX.COM/I9YX0FNSXM4H4B8V2MYVBKZH281,,
NLABEL-F405,STM32F405 LABEL,,,,shelf5,1,https://PARTSBOX.COM/ICMC50K8SRAG1T9NJ794EJQCQ8J,,
STMPE811QTR,STMPE811 Series 3.6 V 2.8 mA Resistive Touch Screen Controller - QFN-16 (3x3),QFN16_3x3,STMicroelectronics,STMPE811QTR,Office 9,1014,https://PARTSBOX.COM/I7SQ4K55DTGGCN9JRPZVWYX95KY,,
87035K42,PINK FOAM THINNER (24X24X1/4),,,,,0,https://PARTSBOX.COM/IDQHGFHF2BGHHAAKHY1DW5HTM1G,,
NPCA-CW520,PCA: ChipSHOUTER main board,,,,shelf1,87,https://PARTSBOX.COM/I3EJ2CVATSPKN1B103WYAPP4JBC,,
LP3985IM5X-3.0/NOPB,"150-mA, low-dropout voltage regulator with bypass & enable 5-SOT-23 -40 to 125",,Texas Instruments,LP3985IM5X-3.0/NOPB,,0,https://PARTSBOX.COM/I4EB10MGJWWHQKB13Q5515E9BW6,,
LPC-P1114,NXP ARM LPC1114 CORTEX M0 PROTO,,Olimex,LPC-P1114,shelf5,35,https://PARTSBOX.COM/I7N01YC188AKS19XX2CEMHWF194,,
CON05HDR-01 (68000-105HLF),Conn; Rect; UnshroudedHdr; 5Cnts; ThruHole; BergStik; 2.54mmPin-Spng; Vert; 1-Row,,Amphenol Communications Solutions,68000-105HLF,shelf4,78,https://PARTSBOX.COM/I2QX6GVHWFTHBH91TZ30AXBAHEJ,,
TQFP64SOCKET (3010-064-6-08),"Socket, Burn-In, Tqfp, 64Way; No. Of Contacts:64Contacts; Connector Type:ic Socket; Pitch Spacing:0.5Mm; Product Range:3000 Series; Row Pitch:-; Contact Material:beryllium Copper; Contact Plating:gold Plated Contacts; Contact Rohs Compliant: Yes",,WELLS-CTI,3010-064-6-08,Office 9,190,https://PARTSBOX.COM/I1MTDYM25WWHREBXBF5QDGZWDVB,,
NAE-CW308T-FE310,UFO TARGET FE310-G002 TESTED,,,,,0,https://PARTSBOX.COM/ICHG0AHHRXWGVBAT9XQZVXMJ0KC,,
NAE-SCAPACK-L2,Side Channel & Glitching Starter Pack Level 2,,,,shelf4,4,https://PARTSBOX.COM/IAT20FVDYRJH28985E9EH1FKFCE,,
190030097,CONN QC RCPT 18-22AWG 0.110,,Molex,190030097,shelf2,28,https://PARTSBOX.COM/IF319SNE7GPJHFA771FDQMQ6AZW,,
SN65LVDT2DBVR,LVDS Driver/Receiver 400Mbps 0.454V 5-Pin SOT-23 T/R,,Texas Instruments,SN65LVDT2DBVR,,0,https://PARTSBOX.COM/I0ZJWPXCWHJK4GBAY5KC7GKBGN5,,
NPCB-CW521-04,BallisticGel CW521 REV. 04 PCB,,,,shelf5,55,https://PARTSBOX.COM/I58QPPPPMEWKCV886TSDXSZNEEH,,
AD5259BRMZ10-R7,Digital Potentiometer 10kOhm 256POS Non-Volatile Automotive 10-Pin MSOP T/R,,Analog Devices,AD5259BRMZ10-R7,Office 9,106,https://PARTSBOX.COM/IDWFF6TBAFTK269JRVXDE23ZE83,,
IS25WP128-JLLE,"NOR Flash Serial (SPI, Dual SPI, Quad SPI) 1.8V 128M-bit 16M x 8 8ns 8-Pin WSON EP",,ISSI,IS25WP128-JLLE,Office 9,154,https://PARTSBOX.COM/I62Q1XMJQW2H1E96QD5RMKE6AGY,,
DMN3200U-7,Single N-Channel 30 V 200 mOhm 650 mW Silicon Surface Mount Mosfet - SOT-23,,Diodes Inc.,DMN3200U-7,Parts Kit: ChipSHOUTER SMT,4184,https://PARTSBOX.COM/IB01VPTRFK0H7HBAJBMQ711KHVQ,,
CCHIP-47UF-1210 (C3225X5R1A476M250AC),10V 47uF X5R 卤20% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,TDK,C3225X5R1A476M250AC,Office 9,754,https://PARTSBOX.COM/I94MFBFK2K0H77928EMDKG2N8T3,,
STM32F303RDT6TR,MCU 32-Bit ARM Cortex-M4F RISC 384 Kbytes Flash 3.3V 64-Pin LQFP T/R,,STMicroelectronics,STM32F303RDT6TR,Office 9,23,https://PARTSBOX.COM/ICMCR2X54Q0HTZ8C44VE9SWVHMK,,
NPCB-CW312T-K82F-03,PCB K82F,,,,,0,https://PARTSBOX.COM/I4TG0B99SR8JWJA6V6WFGYATCE1,,
NAE-CW308T-STM32F2HWC,Development Boards & Kits - ARM STM32F2 w/ Hardware Crypto Target for CW308 (TESTED),,,,shelf5,12,https://PARTSBOX.COM/I51T9DA6ENAGMH9AAVBHN6H0J0A,,
11 MCX-50-2-16/111NH,"Rf / Coaxial Connector, Mcx Coaxial, Straight Plug, Crimp, 50 Ohm, Rg174, Rg188A, Rg316, Brass Rohs Compliant: Yes",,Huber+Suhner,11 MCX-50-2-16/111NH,shelf3,105,https://PARTSBOX.COM/IE5CTZATXEWJP48XH80EFS33QNK,,
132331,RF/Coaxial Connector; Connector Type: SMA Coaxial; Impedance: 50ohm ; RoHS Compliant: Yes,,Amphenol RF,132331,shelf3,118,https://PARTSBOX.COM/IFGEBM0784RKAH8AX25PRX9H8AS,,
CCHIP-100n-0603-50V (C0603C104K5RACTU),Cap Ceramic 0.1uF 50VDC X7R 10% SMD 0603 Paper,603,KEMET,C0603C104K5RACTU,,0,https://PARTSBOX.COM/I3D8NEBM45MHAH9DZZ01VHB0XD3,CCHIP-100n-0603-50V-,
NBOX-BROWN-16x16x14 (S-4893),BROWN Box 16x16x14 CORRUGATED BOXES,,,S-4893,large storage room,47,https://PARTSBOX.COM/IEYTBC7QY90H4GBXT4WQTAZNPMM,,
NPCB-CW308T-FE310-G002-01 (OBSOLETE),UFO TARGET FE310-G002,,,,PROTO,8,https://PARTSBOX.COM/I6ENFYSAM16H5D9TVED57Q71XVK,,
MURS480ET3G,MURS Series 4 A 800 V 100 ns Surface Mount Ultrafast Power Rectifier - CASE-403,,onsemi,MURS480ET3G,,0,https://PARTSBOX.COM/I0JESE7EKJ4K8488NQ06Q80K91G,,
NPCB-CWBO-01,Breakout Board Blank (White Soldermask),,,,shelf4,27,https://PARTSBOX.COM/IENK9GQ1QHGK9Q9AGJ04QV0MT60,,
75869-131LF,75869 Series 6 Position (2 x 3) 2.54 mm Vertical Shrouded 4 Wall Male Pin Header,,Amphenol Communications Solutions,75869-131LF,shelf3,332,https://PARTSBOX.COM/I5JGF9Q81DMKDGBXE1ZSFZAEBGN,,
SN65HVD232D,CAN 1Mbps Sleep/Standby 3.3V Automotive 8-Pin SOIC Tube,,Texas Instruments,SN65HVD232D,Office 9,204,https://PARTSBOX.COM/I3T6Z250S92KH59V72Z8A8M2GES,,
SMA-KIT-1.5MF,"HOUSING BRASS 0.43""DIA X 1.5""L",,Crystek Crystals,SMA-KIT-1.5MF,shelf3,29,https://PARTSBOX.COM/IFV6A6BAYAGJZX85W6KDWPJ8KRF,,
57021,"Protective Pak Velostat Hinged Container 7x3-1/2""x1"" 4024",,Protektive Pak,57021,large storage room,382,https://PARTSBOX.COM/I555DN1SEQ4H6R9292DFB257V7D,,
CB-USB-AC-6-BLK (DH-20M50054),"Usb C 2.0 To Usb A, 6""   (BLACK)",,Cvilux,DH-20M50054,shelf3,78,https://PARTSBOX.COM/IBA231BAF0EGPWANTM9C2VVHYX1,,
NPCB-HPROBE-15,"H-Probe Blank PCB, 15mm",,,,shelf5,149,https://PARTSBOX.COM/I7AD76V07C0K8GAB0FXBGCN58FX,,
24437,Aluminum 5mm Hex Female Standoff,,Keystone,24437,shelf4,10,https://PARTSBOX.COM/I1WSK0KGY1JHSTA5M9G3P4AA9AP,,
SPL-STATICBAG-02 (30035) (30035),"Anti-Static Bag 3x5""",,,30035,packaging area,2273,https://PARTSBOX.COM/IEC02WD87MYG1CAPY7GZNZP6CDS,,
NSLEEVE-CW305-ARTIX-FPGA-SOCKET (BACK COVER),SLEEVE COVER CW305 ARTIX FPGA SOCKE,,,,packaging area,26,https://PARTSBOX.COM/I9MJ3P5F5SRJKC84Z7M4KMSAF1W,,
20021121-00030T4LF,Conn Unshrouded Header HDR 30 POS 1.27mm Solder ST Top Entry SMD Tube,,Amphenol Communications Solutions,20021121-00030T4LF,shelf3,15,https://PARTSBOX.COM/IFDJ50WDTH2H5J9KRY98GZ7P7J8,,
10-00240,Cable Assembly 1.83m 22AWG USB Type A to DC Power 4 to 2 POS PL-PL,,Tensility,10-00240,shelf3,9,https://PARTSBOX.COM/I6M69P0S4EGJA7BXA4FEQBCM952,,
LPC55S06JBD64E,"Mcu, 32Bit, 96Mhz, Htqfp-64 Rohs Compliant: Yes",,NXP Semiconductors,LPC55S06JBD64E,Office 9,64,https://PARTSBOX.COM/I3HH3Z5511PG289V27417NW34V0,,
EE87C51RB1,MCU 8-bit MCS51 80C51 CISC 16KB EPROM 5V 44-Pin PLCC,,Intel,EE87C51RB1,shelf1,7,https://PARTSBOX.COM/IFB8RSXKQ4CK3YADXF29227K5Y1,,
CON40HDR-MM-01 (PRPC020DABN-RC),CONN HEADER VERT 40POS 2.54MM,,Sullins,PRPC020DABN-RC,shelf3,88,https://PARTSBOX.COM/IBZF77FX6STG0W86XQK5R85GX9M,,
PD-40S,4-Position (Power) Circular Connector Jack Female Sockets Right Angle PCB Mount,,CUI Devices,PD-40S,,0,https://PARTSBOX.COM/I9QT3QAH3Z2JF1874HJA6F3YAPR,,
OSCILLOSCOPE ACCESSORY,(TOOL FOR OSCILLOSCOPE),,,,shelf3,3,https://PARTSBOX.COM/IDAZFXN8CWJGQGASRPZ8QFE6RWH,,
"Artix 7A100 FPGA Target - 500 mOhm, No VCC",,,,,,0,https://PARTSBOX.COM/I62XSJK8MHCKJ4AHHBP5PPHCM4K,,
CCHIP-10p-0603-50V,,,,,,380,https://PARTSBOX.COM/I7XZH16CP2AH4YAK1J2YN8SK4Y0,,
CDRH125NP-680MC,Ind Power Shielded Wirewound 68uH 20% 1KHz Ferrite 1.5A Carrier T/R,,Sumida,CDRH125NP-680MC,,0,https://PARTSBOX.COM/I970A1RXY22H0SB63V01M5XG9GQ,,
CCHIP-2u2-0603-16V (EMK107BJ225KA-T),"Multilayer Ceramic Capacitors (High dielectric type), 16V, 2.2 uF, ± 10 %, 0603, X5R, RoHS",,Taiyo Yuden,EMK107BJ225KA-T,Office 9,4000,https://PARTSBOX.COM/I3JYMS7AA6CHDGA6PV81JAS9Y1M,,
NBOX-BROWN-14x14x14 (S-4142),BROWN BOX CORRUGATED BOXES,,,S-4142,large storage room,61,https://PARTSBOX.COM/IES2YNRGC4EJ638CEQETARP263E,,
CB-USB-AB (102-1030-BL-F0200),Cable Assembly USB 2m USB 2.0 Type A to USB 2.0 Type B 4 to 4 POS M-M,,CNC Tech,102-1030-BL-F0200,,0,https://PARTSBOX.COM/I385NZGWRFMJWX9BXZGC36M2SJQ,,
LD1117S33TR,LD1117 Series 1300 mA 3.3 V Fixed Output Positive Voltage LDO Regulator- SOT-223,SOT-223,STMicroelectronics,LD1117S33TR,"Office 9,SMDREELRACK",2038,https://PARTSBOX.COM/I4WKRJHWSRAJ6B96J10N4W4BNEE,,
RCHIP-75R-0805 (ERJ-P06J750V),Res Thick Film 0805 75 Ohm 5% 1/4W ±200ppm/°C Molded SMD SMD Punched Carrier T/R,,Panasonic,ERJ-P06J750V,Office 9,1402,https://PARTSBOX.COM/I3XHHCEGYHRGR8BD9VE07YJ45GQ,,
920-0193-50,"10 of Each: Green, Red, Orange, Brown and Black 9"" Female Jumpers and 200 Headers",,SchmartBoard,920-0193-50,,0,https://PARTSBOX.COM/I4AGQX54FS8JSS8PK4T3N42CAP7,,
DWP-125-3/16-0-STK,Heat Shrink Tubing ST Cross Linked Polyolefin Black Medium Stick 1pc = 1ft(30.48cm),,TE Connectivity / Raychem,DWP-125-3/16-0-STK,shelf3,6,https://PARTSBOX.COM/IFN4KJQQVK4HPKAP0JNM6RGCT98,,
X & Y CABLES,Chipshover X & Y cables,,,,,0,https://PARTSBOX.COM/I8EYZF5WP6CKARAC5MT18EWR8BB,,
NCASE-CW1200-HAMMOND-01 (C07327M Rev. B),CW-Pro Hammond Case - 1455J1202 Modified,,Hammond,C07327M Rev. B,shelf3,2,https://PARTSBOX.COM/I596YMQ431RKA39PAS42RMVAW32,,
801-87-020-10-001101,SOCKET 7 MM SOLDER TAIL SINGLE,,Preci-Dip,801-87-020-10-001101,shelf3,5,https://PARTSBOX.COM/IDQ7AGPFSNEJ7ZADFH5XDKGT2KT,,
28A0392-0A2,Split Core Ferrite Suppressors for Round Cable 170ohms 100MHz 5.44mm Inside Dia.,,Laird,28A0392-0A2,shelf3,215,https://PARTSBOX.COM/IAX15SG0GJRJPP8AHNJ6EKCBW55,,
XC6SLX9-2TQG144,,,,,,270,https://PARTSBOX.COM/IETE01T6CM2HK7BF8A1HX64SH5F,,
NAE-CW305-04-7A35-0.10-X,"Artix 7A35 FPGA Target - 100 mOhm, No VCC",,,,,0,https://PARTSBOX.COM/IFBZT4RZ1G0KKF8TPHC5B82C7B1,,
82868,"ZEBRA 4"" X 6"" Z-SELECT 4000T LABEL - 82868",,,,packaging area,2,https://PARTSBOX.COM/I7T9F8SBWX0G659X3VVN9TZW1H0,,
CCHIP-47p-0603-50V (06035A470JAT2A),0603 47 pF 50 V ±5 % Tol. C0G/NP0 Surface Mount Multilayer Ceramic Capacitor,603,KYOCERA AVX,06035A470JAT2A,Office 9,3110,https://PARTSBOX.COM/I0WXQBX28JAGH8BA3P3GD69R317,CCHIP-47p-0603-50V,
NPCB_CW_HUSKY_03_PROTO,CHIPWHISPERER HUSKY REV.3,,,,shelf5,3,https://PARTSBOX.COM/I2GWFW847GYHYP8FTSHM8BGC7CD,,
NLABEL-F415,STM32F415 LABEL,,,,shelf5,1,https://PARTSBOX.COM/I3NRP9BVXY0KCKAJB18TR7VC59B,,
RCHIP-82K-0603 (1623002-1) (CRG0603F82K),Res Thick Film 0603 82K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD,,TE Connectivity,CRG0603F82K,Office 9,3800,https://PARTSBOX.COM/IEFY34KA2DYGAH9FMNKJFEW6WXC,,
744710603,FIXED IND 6UH 2.5A 22 MOHM TH,,Wurth Elektronik,744710603,Office 9,62,https://PARTSBOX.COM/I8KQ57WT2ZPK62BHGW9PF68EVS3,,
NPCB-CW524_02,CHIPSHOUTER AC_BOARD,,,,shelf5,58,https://PARTSBOX.COM/I23R2RZBF3MKFDB6ZDKACEVC5AZ,,
NPCB-CW308T-STM32F-SOCKET64,PCB UFO TARGET STM32F-SOCKET 64,,,,,0,https://PARTSBOX.COM/I85S869X2Y8G4F8PGF62QMT92D3,,
